TCrID,Cargo ID,objectID,eventID
Cargo ID_63,Cr8,tr18,assign_tr18_Pcp16
Cargo ID_64,Cr19,tr11,assign_tr11_Pcp90
Cargo ID_65,Cr19,tr15,assign_tr15_Pcp90
Cargo ID_66,Cr14,tr34,assign_tr34_Pcp54
Cargo ID_67,Cr14,tr16,assign_tr16_Pcp54
Cargo ID_68,Cr1,tr5,assign_tr5_Pcp53
Cargo ID_69,Cr1,tr41,assign_tr41_Pcp53
Cargo ID_70,Cr12,tr30,assign_tr30_Pcp45
Cargo ID_71,Cr12,tr33,assign_tr33_Pcp45
Cargo ID_72,Cr20,tr43,assign_tr43_Pcp100
Cargo ID_73,Cr20,tr21,assign_tr21_Pcp100
Cargo ID_74,Cr15,tr46,assign_tr46_Pcp49
Cargo ID_75,Cr15,tr28,assign_tr28_Pcp49
Cargo ID_76,Cr4,tr2,assign_tr2_Pcp60
Cargo ID_77,Cr4,tr22,assign_tr22_Pcp60
Cargo ID_78,Cr5,tr41,assign_tr41_Pcp31
Cargo ID_79,Cr5,tr50,assign_tr50_Pcp31
Cargo ID_80,Cr12,tr35,assign_tr35_Pcp66
Cargo ID_81,Cr12,tr27,assign_tr27_Pcp66
Cargo ID_82,Cr10,tr3,assign_tr3_Pcp68
Cargo ID_83,Cr10,tr29,assign_tr29_Pcp68
Cargo ID_84,Cr6,tr44,assign_tr44_Pcp76
Cargo ID_85,Cr6,tr17,assign_tr17_Pcp76
Cargo ID_86,Cr2,tr18,assign_tr18_Pcp83
Cargo ID_87,Cr2,tr6,assign_tr6_Pcp83
Cargo ID_88,Cr7,tr26,assign_tr26_Pcp52
Cargo ID_89,Cr7,tr11,assign_tr11_Pcp52
Cargo ID_90,Cr1,tr42,assign_tr42_Pcp42
Cargo ID_91,Cr1,tr43,assign_tr43_Pcp42
Cargo ID_92,Cr18,tr7,assign_tr7_Pcp2
Cargo ID_93,Cr19,tr34,assign_tr34_Pcp43
Cargo ID_94,Cr19,tr19,assign_tr19_Pcp43
Cargo ID_95,Cr18,tr46,assign_tr46_Pcp2
Cargo ID_96,Cr6,tr45,assign_tr45_Pcp34
Cargo ID_97,Cr6,tr4,assign_tr4_Pcp34
