ocel_id;ocel_time
eval_trs_exittr30_Pcp31;2024-04-08 15:10:10
eval_trs_exittr40_Pcp66;2024-04-08 15:34:21
eval_trs_exittr23_Pcp8;2024-04-08 15:49:34
eval_trs_exittr46_Pcp63;2024-04-08 15:49:41
eval_trs_exittr11_Pcp50;2024-04-08 16:08:33
eval_trs_exittr12_Pcp51;2024-04-08 16:35:51
eval_trs_exittr16_Pcp9;2024-04-08 16:46:30
eval_trs_exittr38_Pcp11;2024-04-08 17:13:04
eval_trs_exittr25_Pcp59;2024-04-08 18:04:28
eval_trs_exittr18_Pcp67;2024-04-08 18:23:58
eval_trs_exittr32_Pcp2;2024-04-09 07:50:33
eval_trs_exittr20_Pcp85;2024-04-09 08:07:42
eval_trs_exittr13_Pcp27;2024-04-09 09:02:40
eval_trs_exittr34_Pcp62;2024-04-09 09:17:09
eval_trs_exittr35_Pcp62;2024-04-09 10:13:56
eval_trs_exittr26_Pcp62;2024-04-09 10:36:34
eval_trs_exittr6_Pcp31;2024-04-09 11:06:15
eval_trs_exittr17_Pcp3;2024-04-09 11:11:34
eval_trs_exittr15_Pcp1;2024-04-09 11:13:06
eval_trs_exittr33_Pcp45;2024-04-09 11:31:10
eval_trs_exittr36_Pcp46;2024-04-09 11:57:30
eval_trs_exittr49_Pcp100;2024-04-09 12:22:49
eval_trs_exittr48_Pcp61;2024-04-09 13:43:13
eval_trs_exittr31_Pcp88;2024-04-09 14:34:13
eval_trs_exittr22_Pcp15;2024-04-09 14:39:25
eval_trs_exittr1_Pcp74;2024-04-09 14:41:23
eval_trs_exittr8_Pcp7;2024-04-09 15:12:27
eval_trs_exittr14_Pcp48;2024-04-09 15:27:31
eval_trs_exittr28_Pcp87;2024-04-09 15:33:22
eval_trs_exittr27_Pcp45;2024-04-09 15:58:15
eval_trs_exittr45_Pcp1;2024-04-09 15:59:02
eval_trs_exittr37_Pcp58;2024-04-09 16:13:39
eval_trs_exittr21_Pcp46;2024-04-09 16:20:37
eval_trs_exittr4_Pcp57;2024-04-09 16:24:13
eval_trs_exittr44_Pcp23;2024-04-09 16:43:03
eval_trs_exittr38_Pcp97;2024-04-09 16:44:13
eval_trs_exittr39_Pcp63;2024-04-09 16:54:46
eval_trs_exittr2_Pcp87;2024-04-09 17:27:22
eval_trs_exittr29_Pcp14;2024-04-09 18:55:45
eval_trs_exittr20_Pcp4;2024-04-09 19:03:46
eval_trs_exittr41_Pcp66;2024-04-09 22:26:54
eval_trs_exittr24_Pcp63;2024-04-09 22:43:42
eval_trs_exittr47_Pcp8;2024-04-10 07:51:28
eval_trs_exittr50_Pcp4;2024-04-10 08:50:37
eval_trs_exittr5_Pcp9;2024-04-10 09:05:58
eval_trs_exittr16_Pcp3;2024-04-10 09:48:42
eval_trs_exittr23_Pcp40;2024-04-10 09:52:55
eval_trs_exittr9_Pcp6;2024-04-10 09:55:15
eval_trs_exittr40_Pcp55;2024-04-10 10:36:37
eval_trs_exittr26_Pcp68;2024-04-10 10:39:43
eval_trs_exittr3_Pcp51;2024-04-10 10:46:30
eval_trs_exittr42_Pcp16;2024-04-10 10:51:06
eval_trs_exittr13_Pcp74;2024-04-10 11:00:58
eval_trs_exittr7_Pcp68;2024-04-10 11:04:46
eval_trs_exittr43_Pcp14;2024-04-10 11:30:09
eval_trs_exittr30_Pcp33;2024-04-10 11:58:30
eval_trs_exittr11_Pcp1;2024-04-10 11:58:38
eval_trs_exittr25_Pcp91;2024-04-10 12:58:38
eval_trs_exittr22_Pcp76;2024-04-10 14:00:32
eval_trs_exittr33_Pcp8;2024-04-10 14:19:54
eval_trs_exittr12_Pcp76;2024-04-10 15:07:44
eval_trs_exittr49_Pcp45;2024-04-10 15:44:25
eval_trs_exittr46_Pcp99;2024-04-10 15:53:01
eval_trs_exittr18_Pcp74;2024-04-10 16:07:47
eval_trs_exittr8_Pcp35;2024-04-10 16:47:53
eval_trs_exittr6_Pcp75;2024-04-10 17:00:58
eval_trs_exittr1_Pcp99;2024-04-10 17:06:00
eval_trs_exittr41_Pcp75;2024-04-10 17:08:41
eval_trs_exittr39_Pcp72;2024-04-10 17:16:00
eval_trs_exittr35_Pcp68;2024-04-10 17:47:04
eval_trs_exittr17_Pcp1;2024-04-10 18:04:51
eval_trs_exittr32_Pcp16;2024-04-10 18:21:03
eval_trs_exittr45_Pcp59;2024-04-10 18:24:10
eval_trs_exittr10_Pcp3;2024-04-10 21:39:23
eval_trs_exittr34_Pcp25;2024-04-10 22:39:59
eval_trs_exittr19_Pcp97;2024-04-10 23:32:26
eval_trs_exittr2_Pcp57;2024-04-11 07:41:26
eval_trs_exittr29_Pcp35;2024-04-11 10:12:35
eval_trs_exittr23_Pcp85;2024-04-11 10:13:38
eval_trs_exittr42_Pcp32;2024-04-11 10:35:25
eval_trs_exittr16_Pcp86;2024-04-11 10:53:16
eval_trs_exittr15_Pcp4;2024-04-11 10:54:41
eval_trs_exittr38_Pcp9;2024-04-11 10:56:51
eval_trs_exittr26_Pcp31;2024-04-11 11:04:53
eval_trs_exittr36_Pcp48;2024-04-11 11:07:46
eval_trs_exittr14_Pcp74;2024-04-11 11:14:24
eval_trs_exittr21_Pcp72;2024-04-11 11:35:48
eval_trs_exittr50_Pcp55;2024-04-11 11:57:43
eval_trs_exittr48_Pcp74;2024-04-11 12:01:09
eval_trs_exittr9_Pcp75;2024-04-11 12:19:52
eval_trs_exittr24_Pcp72;2024-04-11 12:41:14
eval_trs_exittr28_Pcp4;2024-04-11 12:42:03
eval_trs_exittr47_Pcp85;2024-04-11 13:41:52
eval_trs_exittr5_Pcp40;2024-04-11 14:47:28
eval_trs_exittr13_Pcp17;2024-04-11 15:15:08
eval_trs_exittr3_Pcp17;2024-04-11 15:28:41
eval_trs_exittr4_Pcp35;2024-04-11 15:29:23
eval_trs_exittr40_Pcp72;2024-04-11 16:14:49
eval_trs_exittr31_Pcp68;2024-04-11 16:43:20
eval_trs_exittr27_Pcp32;2024-04-11 21:50:42
eval_trs_exittr37_Pcp55;2024-04-11 22:11:39
eval_trs_exittr44_Pcp62;2024-04-11 22:52:08
eval_trs_exittr7_Pcp31;2024-04-12 07:28:47
eval_trs_exittr20_Pcp85;2024-04-12 10:39:04
eval_trs_exittr43_Pcp75;2024-04-12 14:20:50
