event_id,object_id,e2o_qualifier
Lodge_Pcp31,Pcp31,lodged pickup plan
Lodge_Pcp31,Cr5,cargo scheduled to be pick up
Lodge_Pcp45,Pcp45,lodged pickup plan
Lodge_Pcp45,Cr6,cargo scheduled to be pick up
Lodge_Pcp24,Pcp24,lodged pickup plan
Lodge_Pcp24,Cr73,cargo scheduled to be pick up
Lodge_Pcp50,Pcp50,lodged pickup plan
Lodge_Pcp50,Cr36,cargo scheduled to be pick up
Lodge_Pcp4,Pcp4,lodged pickup plan
Lodge_Pcp4,Cr44,cargo scheduled to be pick up
Lodge_Pcp17,Pcp17,lodged pickup plan
Lodge_Pcp17,Cr30,cargo scheduled to be pick up
Lodge_Pcp12,Pcp12,lodged pickup plan
Lodge_Pcp12,Cr60,cargo scheduled to be pick up
Lodge_Pcp37,Pcp37,lodged pickup plan
Lodge_Pcp37,Cr83,cargo scheduled to be pick up
Lodge_Pcp91,Pcp91,lodged pickup plan
Lodge_Pcp91,Cr100,cargo scheduled to be pick up
Lodge_Pcp15,Pcp15,lodged pickup plan
Lodge_Pcp15,Cr20,cargo scheduled to be pick up
Lodge_Pcp2,Pcp2,lodged pickup plan
Lodge_Pcp2,Cr1,cargo scheduled to be pick up
Lodge_Pcp86,Pcp86,lodged pickup plan
Lodge_Pcp86,Cr67,cargo scheduled to be pick up
Lodge_Pcp35,Pcp35,lodged pickup plan
Lodge_Pcp35,Cr49,cargo scheduled to be pick up
Lodge_Pcp63,Pcp63,lodged pickup plan
Lodge_Pcp63,Cr3,cargo scheduled to be pick up
Lodge_Pcp59,Pcp59,lodged pickup plan
Lodge_Pcp59,Cr45,cargo scheduled to be pick up
Lodge_Pcp87,Pcp87,lodged pickup plan
Lodge_Pcp87,Cr84,cargo scheduled to be pick up
Lodge_Pcp16,Pcp16,lodged pickup plan
Lodge_Pcp16,Cr17,cargo scheduled to be pick up
Lodge_Pcp68,Pcp68,lodged pickup plan
Lodge_Pcp68,Cr92,cargo scheduled to be pick up
Lodge_Pcp40,Pcp40,lodged pickup plan
Lodge_Pcp40,Cr78,cargo scheduled to be pick up
Lodge_Pcp62,Pcp62,lodged pickup plan
Lodge_Pcp62,Cr52,cargo scheduled to be pick up
Lodge_Pcp11,Pcp11,lodged pickup plan
Lodge_Pcp11,Cr19,cargo scheduled to be pick up
Lodge_Pcp6,Pcp6,lodged pickup plan
Lodge_Pcp6,Cr81,cargo scheduled to be pick up
Lodge_Pcp74,Pcp74,lodged pickup plan
Lodge_Pcp74,Cr97,cargo scheduled to be pick up
Lodge_Pcp85,Pcp85,lodged pickup plan
Lodge_Pcp85,Cr80,cargo scheduled to be pick up
Lodge_Pcp80,Pcp80,lodged pickup plan
Lodge_Pcp80,Cr22,cargo scheduled to be pick up
Lodge_Pcp100,Pcp100,lodged pickup plan
Lodge_Pcp100,Cr74,cargo scheduled to be pick up
Lodge_Pcp83,Pcp83,lodged pickup plan
Lodge_Pcp83,Cr23,cargo scheduled to be pick up
assign_trs_Pcp52,tr16,Pickup plan trucks assignment
assign_trs_Pcp20,tr40,Pickup plan trucks assignment
assign_trs_Pcp56,tr29,Pickup plan trucks assignment
assign_trs_Pcp92,tr26,Pickup plan trucks assignment
assign_trs_Pcp77,tr1,Pickup plan trucks assignment
assign_trs_Pcp56,tr9,Pickup plan trucks assignment
assign_trs_Pcp36,tr38,Pickup plan trucks assignment
assign_trs_Pcp36,tr7,Pickup plan trucks assignment
assign_trs_Pcp29,tr32,Pickup plan trucks assignment
assign_trs_Pcp52,tr6,Pickup plan trucks assignment
assign_trs_Pcp29,tr33,Pickup plan trucks assignment
assign_trs_Pcp84,tr50,Pickup plan trucks assignment
assign_trs_Pcp26,tr43,Pickup plan trucks assignment
assign_trs_Pcp64,tr46,Pickup plan trucks assignment
assign_trs_Pcp92,tr47,Pickup plan trucks assignment
assign_trs_Pcp56,tr12,Pickup plan trucks assignment
assign_trs_Pcp13,tr45,Pickup plan trucks assignment
assign_trs_Pcp56,tr42,Pickup plan trucks assignment
assign_trs_Pcp26,tr2,Pickup plan trucks assignment
assign_trs_Pcp92,tr17,Pickup plan trucks assignment
assign_trs_Pcp95,tr28,Pickup plan trucks assignment
assign_trs_Pcp69,tr22,Pickup plan trucks assignment
assign_trs_Pcp36,tr23,Pickup plan trucks assignment
assign_trs_Pcp69,tr39,Pickup plan trucks assignment
assign_trs_Pcp13,tr3,Pickup plan trucks assignment
assign_trs_Pcp36,tr30,Pickup plan trucks assignment
assign_trs_Pcp36,tr27,Pickup plan trucks assignment
assign_trs_Pcp69,tr10,Pickup plan trucks assignment
assign_trs_Pcp38,tr14,Pickup plan trucks assignment
assign_trs_Pcp41,tr19,Pickup plan trucks assignment
assign_trs_Pcp38,tr13,Pickup plan trucks assignment
assign_trs_Pcp56,tr5,Pickup plan trucks assignment
assign_trs_Pcp18,tr11,Pickup plan trucks assignment
assign_trs_Pcp56,tr24,Pickup plan trucks assignment
assign_trs_Pcp52,tr25,Pickup plan trucks assignment
assign_trs_Pcp13,tr36,Pickup plan trucks assignment
assign_trs_Pcp49,tr20,Pickup plan trucks assignment
assign_trs_Pcp64,tr37,Pickup plan trucks assignment
assign_trs_Pcp69,tr31,Pickup plan trucks assignment
assign_trs_Pcp52,tr21,Pickup plan trucks assignment
assign_trs_Pcp77,tr48,Pickup plan trucks assignment
assign_trs_Pcp42,tr4,Pickup plan trucks assignment
assign_trs_Pcp29,tr15,Pickup plan trucks assignment
assign_trs_Pcp64,tr49,Pickup plan trucks assignment
assign_trs_Pcp13,tr18,Pickup plan trucks assignment
assign_trs_Pcp52,tr34,Pickup plan trucks assignment
assign_trs_Pcp29,tr44,Pickup plan trucks assignment
assign_trs_Pcp36,tr8,Pickup plan trucks assignment
assign_trs_Pcp69,tr41,Pickup plan trucks assignment
assign_trs_Pcp21,tr35,Pickup plan trucks assignment
weigh_empty_trucktr49,tr49,Truck weighed
weigh_empty_trucktr11,tr11,Truck weighed
weigh_empty_trucktr15,tr15,Truck weighed
weigh_empty_trucktr17,tr17,Truck weighed
load_trucktr17,tr17,cargo load for truck
load_trucktr15,tr15,cargo load for truck
weigh_empty_trucktr50,tr50,Truck weighed
load_trucktr11,tr11,cargo load for truck
weigh_empty_trucktr9,tr9,Truck weighed
weigh_empty_trucktr24,tr24,Truck weighed
load_trucktr49,tr49,cargo load for truck
weigh_empty_trucktr12,tr12,Truck weighed
weigh_empty_trucktr23,tr23,Truck weighed
load_trucktr12,tr12,cargo load for truck
load_trucktr24,tr24,cargo load for truck
load_trucktr23,tr23,cargo load for truck
load_trucktr50,tr50,cargo load for truck
weigh_empty_trucktr42,tr42,Truck weighed
weigh_empty_trucktr33,tr33,Truck weighed
load_trucktr9,tr9,cargo load for truck
load_trucktr33,tr33,cargo load for truck
