event_id,timestamp,activity
weigh_loaded_trucktr6,2024-04-04 16:37:40,Weigh the Loaded Truck
weigh_loaded_trucktr6,2024-04-08 09:00:14,Weigh the Loaded Truck
weigh_loaded_trucktr6,2024-04-09 10:13:48,Weigh the Loaded Truck
weigh_loaded_trucktr6,2024-04-10 14:46:20,Weigh the Loaded Truck
load_trucktr35,2024-04-02 10:12:57,Load Truck
load_trucktr35,2024-04-04 15:18:04,Load Truck
load_trucktr35,2024-04-08 13:56:20,Load Truck
load_trucktr35,2024-04-10 07:55:16,Load Truck
print_w_tickettr17,2024-04-02 10:13:28,Print the Weighing Ticket
print_w_tickettr17,2024-04-03 11:54:44,Print the Weighing Ticket
print_w_tickettr17,2024-04-04 16:00:04,Print the Weighing Ticket
print_w_tickettr17,2024-04-08 09:40:10,Print the Weighing Ticket
print_w_tickettr17,2024-04-09 11:11:34,Print the Weighing Ticket
print_w_tickettr17,2024-04-10 18:04:51,Print the Weighing Ticket
input_tally_sheettr17,2024-04-02 10:13:28,Input the Tally Sheet
input_tally_sheettr17,2024-04-03 11:54:44,Input the Tally Sheet
input_tally_sheettr17,2024-04-04 16:00:04,Input the Tally Sheet
input_tally_sheettr17,2024-04-08 09:40:10,Input the Tally Sheet
input_tally_sheettr17,2024-04-09 11:11:34,Input the Tally Sheet
input_tally_sheettr17,2024-04-10 18:04:51,Input the Tally Sheet
eval_trs_exittr17_Pcp92,2024-04-02 10:13:28,Evaluate the Truck Exit
weigh_loaded_trucktr21,2024-04-02 10:15:00,Weigh the Loaded Truck
weigh_loaded_trucktr21,2024-04-03 11:55:13,Weigh the Loaded Truck
weigh_loaded_trucktr21,2024-04-05 16:31:08,Weigh the Loaded Truck
weigh_loaded_trucktr21,2024-04-09 15:24:14,Weigh the Loaded Truck
weigh_loaded_trucktr21,2024-04-11 10:21:53,Weigh the Loaded Truck
weigh_loaded_trucktr47,2024-04-02 10:19:03,Weigh the Loaded Truck
weigh_loaded_trucktr47,2024-04-03 15:30:18,Weigh the Loaded Truck
weigh_loaded_trucktr47,2024-04-05 16:14:41,Weigh the Loaded Truck
weigh_loaded_trucktr47,2024-04-09 16:42:02,Weigh the Loaded Truck
weigh_loaded_trucktr47,2024-04-11 11:05:45,Weigh the Loaded Truck
weigh_loaded_trucktr48,2024-04-02 10:25:25,Weigh the Loaded Truck
weigh_loaded_trucktr48,2024-04-04 09:44:43,Weigh the Loaded Truck
weigh_loaded_trucktr48,2024-04-05 13:56:25,Weigh the Loaded Truck
weigh_loaded_trucktr48,2024-04-09 11:11:36,Weigh the Loaded Truck
weigh_loaded_trucktr48,2024-04-11 11:04:30,Weigh the Loaded Truck
weigh_loaded_trucktr44,2024-04-02 10:30:08,Weigh the Loaded Truck
weigh_loaded_trucktr44,2024-04-03 12:15:55,Weigh the Loaded Truck
weigh_loaded_trucktr44,2024-04-05 11:40:41,Weigh the Loaded Truck
weigh_loaded_trucktr44,2024-04-09 14:27:26,Weigh the Loaded Truck
weigh_loaded_trucktr44,2024-04-10 18:23:52,Weigh the Loaded Truck
weigh_loaded_trucktr22,2024-04-02 10:36:40,Weigh the Loaded Truck
weigh_loaded_trucktr22,2024-04-03 18:08:21,Weigh the Loaded Truck
weigh_loaded_trucktr22,2024-04-05 16:25:42,Weigh the Loaded Truck
weigh_loaded_trucktr22,2024-04-09 12:07:21,Weigh the Loaded Truck
weigh_loaded_trucktr22,2024-04-10 13:15:21,Weigh the Loaded Truck
weigh_empty_trucktr27,2024-04-02 10:39:55,Weigh the Empty Truck
weigh_empty_trucktr27,2024-04-03 17:03:49,Weigh the Empty Truck
weigh_empty_trucktr27,2024-04-05 10:24:02,Weigh the Empty Truck
weigh_empty_trucktr27,2024-04-08 16:34:26,Weigh the Empty Truck
weigh_empty_trucktr27,2024-04-10 09:34:47,Weigh the Empty Truck
load_trucktr32,2024-04-02 10:44:59,Load Truck
load_trucktr32,2024-04-04 07:53:46,Load Truck
load_trucktr32,2024-04-08 07:20:15,Load Truck
load_trucktr32,2024-04-10 09:56:14,Load Truck
load_trucktr27,2024-04-02 10:47:26,Load Truck
load_trucktr27,2024-04-03 18:29:22,Load Truck
